id,sentence
1,The patient requires immediate treatment.
2,The detector recorded a high-energy event.
3,The system is operating normally.
4,Global markets see sharp rise amid economic recovery.
5,New healthcare policy sparks debate among experts.
6,Technology stocks fall due to market uncertainty.
7,Climate change impacts agricultural production worldwide.
8,Education reforms introduced to improve literacy rates.
9,AI systems are transforming modern industries rapidly.
10,Cybersecurity threats increase as digital systems expand.
